"","mun","year","Nombre municipio","Departamento","presencia","Guerrilla","Paramilitaries","Disputa"
"6160",47161,2002,"Cerro San Antonio","Magdalena",0,0,0,0
"6161",47170,2002,"Chibolo","Magdalena",0,0,0,0
"6162",47189,2002,"Ciénaga","Magdalena",3,1,1,1
"6163",47205,2002,"Concordia","Magdalena",0,0,0,0
"6164",47245,2002,"El Banco","Magdalena",3,1,1,1
"6165",47258,2002,"El Piñon","Magdalena",0,0,0,0
"6166",47268,2002,"El Retén","Magdalena",3,1,1,1
"6167",47288,2002,"Fundación","Magdalena",3,1,1,1
"6168",47318,2002,"Guamal","Magdalena",3,1,1,1
"6169",47460,2002,"Nueva Granada","Magdalena",0,0,0,0
"6170",47541,2002,"Pedraza","Magdalena",2,0,1,0
"6171",47545,2002,"Pijiño Del Carmen","Magdalena",0,0,0,0
"6172",47551,2002,"Pivijay","Magdalena",2,0,1,0
"6173",47555,2002,"Plato","Magdalena",2,0,1,0
"6174",47570,2002,"Puebloviejo","Magdalena",0,0,0,0
"6175",47605,2002,"Remolino","Magdalena",0,0,0,0
"6176",47660,2002,"Sabanas De San Angel","Magdalena",0,0,0,0
"6177",47675,2002,"Salamina","Magdalena",0,0,0,0
"6178",47692,2002,"San Sebastián De Buenavista","Magdalena",0,0,0,0
"6179",47703,2002,"San Zenón","Magdalena",0,0,0,0
"6180",47707,2002,"Santa Ana","Magdalena",0,0,0,0
"6181",47720,2002,"Santa Bárbara De Pinto","Magdalena",0,0,0,0
"6182",47745,2002,"Sitionuevo","Magdalena",2,0,1,0
"6183",47798,2002,"Tenerife","Magdalena",0,0,0,0
"6184",47960,2002,"Zapayán","Magdalena",0,0,0,0
"6185",47980,2002,"Zona Bananera","Magdalena",3,1,1,1
"6186",50001,2002,"Villavicencio","Meta",2,0,1,0
"6187",50006,2002,"Acacías","Meta",3,1,1,1
"6188",50110,2002,"Barranca De Upía","Meta",0,0,0,0
"6189",50124,2002,"Cabuyaro","Meta",0,0,0,0
"6190",50150,2002,"Castilla La Nueva","Meta",3,1,1,1
"6191",50223,2002,"Cubarral","Meta",3,1,1,1
"6192",50226,2002,"Cumaral","Meta",2,0,1,0
"6193",50245,2002,"El Calvario","Meta",1,1,0,0
"6194",50251,2002,"El Castillo","Meta",3,1,1,1
"6195",50270,2002,"El Dorado","Meta",3,1,1,1
"6196",50287,2002,"Fuente De Oro","Meta",3,1,1,1
"6197",50313,2002,"Granada","Meta",3,1,1,1
"6198",50318,2002,"Guamal","Meta",3,1,1,1
"6199",50325,2002,"Mapiripán","Meta",3,1,1,1
"6200",50330,2002,"Mesetas","Meta",1,1,0,0
"6201",50350,2002,"La Macarena","Meta",1,1,0,0
"6202",50370,2002,"Uribe","Meta",1,1,0,0
"6203",50400,2002,"Lejanías","Meta",1,1,0,0
"6204",50450,2002,"Puerto Concordia","Meta",3,1,1,1
"6205",50568,2002,"Puerto Gaitán","Meta",3,1,1,1
"6206",50573,2002,"Puerto López","Meta",3,1,1,1
"6207",50577,2002,"Puerto Lleras","Meta",1,1,0,0
"6208",50590,2002,"Puerto Rico","Meta",1,1,0,0
